gene,meth_delta,expr_delta,expr_p,expr_sig
ACOT8,0.0015466976120824948,-0.034040269236289826,0.774470499207145,False
ACOT9,0.016886216036313968,0.0519828105196773,0.7162560743314089,False
ACOX1,-0.0017076757078825287,-0.05940172041815907,0.7630836408702844,False
ACOX3,0.0008113553302403106,-0.06806102142644363,0.8303717713742139,False
ACP1,-0.00011292915138858212,0.08568935709985867,0.6626927892671204,False
ACP2,0.0007993747450258877,-0.47772388759099393,0.18734754377447407,False
ACP5,-0.00357042602449455,0.29476105817794956,0.4327533273068984,False
ACP6,-0.0008713502499024351,0.09700099217011188,0.7492910816748254,False
ACPP,-0.00563885663640962,-0.04331177944185291,0.842076449604956,False
ACRBP,-0.006416223286008219,0.24191730046189905,0.26491854243258484,False
ACSF2,-0.0013224114935901515,0.46715749738096946,0.15425183504278894,False
ACSF3,0.0008191598136497121,0.3919901003223274,0.20724205438714474,False
ACSL1,-0.0045283901425694955,0.134940025571222,0.8072087021139039,False
ACSL4,0.02242483741130565,-0.030598545508638806,0.9438798457608712,False
ACSL5,-0.0008768662460641158,0.28704750169249843,0.249179079842678,False
ACTA2,-0.0022509724722392242,-0.01435492525885714,0.971500226895406,False
ACTB,0.0013908780809673154,0.014470797786605673,0.9016181420520337,False
ACTG1,0.0002100766084256339,0.27189122828755274,0.24910479038935127,False
ACTL6A,-0.0008427119725683744,-0.25452017052308235,0.22670393485308904,False
ACTN1,-7.992879030559209e-07,-1.0817282405081532,0.013736217085412521,True
ACTN4,-8.014015180748279e-05,-0.2948784056879973,0.17842213384692684,False
ACTR10,-0.0006245937459441136,-0.10484026055479549,0.5412947891088282,False
ACTR1A,0.00011583273570818715,-0.13538882550781958,0.3159423829054536,False
ACTR1B,-0.001778059556738952,-0.4239993429760287,0.30451742174963314,False
ACTR2,-0.00012848170877718932,-0.06860277405413243,0.7496056196061054,False
ACTR3,0.0020291272100317025,-0.03340988738544729,0.7718624467528691,False
ACTR3C,-0.0025624771731270236,-0.3280040371198423,0.1779568809121821,False
ACTR6,-0.0001432470217847651,0.38682503958178704,0.09138971140614606,False
ACTR8,0.0006089212758374185,-0.07201611418971877,0.7797769769097729,False
ACY1,-0.00010397360028209229,0.448554633593852,0.03949764305327399,True
ACYP1,0.001045769272694018,-0.37417674729418865,0.046096830997544025,True
ACYP2,-0.0007748383498737417,-0.0779065094494209,0.5235037176725552,False
ADA,-0.0007623504976795631,-0.481710617619083,0.1789809004622698,False
ADAL,-0.0005943553033193309,-0.40883772822610154,0.10077201930580668,False
ADAM10,-0.0029960742761397045,-0.2722246806442575,0.28699991969262195,False
ADAM17,-0.00011299762680426694,-0.25397773387834965,0.47391208962296083,False
ADAM19,-0.002783564622750506,-0.17999616675378874,0.4220473746224206,False
ADAM28,-0.002132619885689666,-0.2271728676369867,0.3486579006062355,False
ADAM8,0.001891885584294735,-0.6220050804756053,0.1617372508646902,False
ADAMTSL4,0.0013557470142613018,-0.14986359076168485,0.6792467954038655,False
ADAP1,-0.0005869006054193478,-0.5580788517252097,0.015697532044235248,True
ADAP2,-0.00262866480241346,0.25676343928653855,0.33853066298383144,False
ADAR,-0.002608490907348667,0.5114319030035598,0.2960048019982198,False
ADAT1,0.0006154574545599929,0.2950536783346366,0.4518671981177671,False
ADAT2,-0.0014135529914051828,-0.29834535882063407,0.41736040210517367,False
ADCK1,0.0003519513551098615,-0.012637976049915838,0.9557966524684393,False
ADCK3,0.0007023874784602911,-0.5207972379355795,0.1341093806417206,False
ADD1,-0.0022011940045795052,-0.0625366455097754,0.788561000819813,False
ADD3,-0.0028045356107730124,-0.1905927575032627,0.45436017691121533,False
ADGRE1,-0.007430576749897965,-0.09959085583449527,0.6186369803940527,False
ADGRE2,0.0003332347699657218,-0.78289745235006,0.08079165308978266,False
ADGRE3,-0.006056839304406733,-0.13704288845029844,0.43333969854187404,False
ADGRE5,-0.0030858167889304855,-0.22260844933098844,0.3249448351551321,False
ADGRG1,0.00033277803194337876,0.6641634601763435,0.13359539697376893,False
ADGRG3,-0.0018238812029243146,-0.2168569672725727,0.6152761061782378,False
ADGRG5,-3.411606459122847e-05,0.2008008349162243,0.4563989357917789,False
ADH5,-0.00011077120190429449,-0.02914711290234336,0.8173492252408039,False
ADHFE1,0.00011193902928657497,-1.215689814621936,0.004654166117488387,True
ADI1,-0.0009311648822817342,-0.005759464082088359,0.9754101891405291,False
ADIPOR1,0.0005086204786717773,-0.055665008556868796,0.7648584515645847,False
ADIPOR2,-0.002908414370208111,-0.019373187698952847,0.9485328775714217,False
ADK,-0.002205549552175552,-0.015457254454007597,0.9034301132679863,False
ADM,-0.0001674499520975333,-0.34917472482779527,0.3859918537752812,False
ADORA2A,0.0005247990753026879,0.06222001471396194,0.8330436703318922,False
ADORA2B,0.0007783235423023648,-0.24799294562741084,0.277727024574898,False
ADPGK,0.00046706218802905535,0.023766184768177476,0.8842373252161945,False
ADPRHL2,0.0023731756605226448,-0.18398484623699288,0.37983985776548956,False
ADPRM,-0.005947842880663725,-0.18392702300207184,0.5225250708043419,False
ADRB2,0.0019280277209633707,-0.2770036515960295,0.08817870102511643,False
ADRBK1,-0.0014163301665576116,0.5764905416835262,0.12350072824572561,False
ADRM1,-0.0004546993162250011,0.15957995976039463,0.345471295246104,False
ADSL,0.0007855800436305404,-0.08289344132641989,0.38502521562998215,False
ADSS,-0.0018833140830104972,0.25234965596530695,0.08620679401132454,False
AES,0.002057796060101191,0.06186645764942525,0.8630550112084471,False
AFF1,-0.0038945286340708292,0.26524782548137454,0.4814973434377716,False
AFF3,-0.001746993184367295,-0.21381893687502596,0.27368437791671985,False
